"office","name","party","year"
"Railroad Commissioner 3","Thompson","D",2008
"Railroad Commissioner 3","Williams","R",2008
"Supreme Court Seat 7","Houston","D",2008
"Supreme Court Seat 7","Wainwright","R",2008
"Supreme Court Seat 8","Johnson","R",2008
"Supreme Court Seat 8","Yanez","D",2008
"Supreme Court Chief Justice","Jefferson","R",2008
"Supreme Court Chief Justice","Jordan","D",2008
"US Representative District 5","Hensarling","R",2008
"US Senator","Cornyn","R",2008
"US Senator","Noriega","D",2008
"State Senator District 28","Duncan","R",2008
"US Representative District 13","Thornberry","R",2008
"US Representative District 13","Waun","D",2008
"State Representative District 82","Craddick","R",2008
"State Representative District 82","Dingus","D",2008
"State Senator District 31","Seliger","R",2008
"US Representative District 11","Conaway","R",2008
"State Representative District 53","Hilderbran","R",2008
"US Representative District 23","Larson","R",2008
"US Representative District 23","Rodriguez","D",2008
"State Representative District 85","Castro","R",2008
"State Representative District 85","Heflin","D",2008
"State Representative District 74","Gallego","D",2008
"State Representative District 74","Kincaid","R",2008
"State Representative District 86","Smithee","R",2008
"State Representative District 86","Wood","D",2008
"State Representative District 102","Goolsby","R",2008
"State Representative District 102","Kent","D",2008
"State Senator District 16","Carona","R",2008
"State Senator District 16","Minns","D",2008
"US Representative District 32","Roberson","D",2008
"US Representative District 32","Sessions","R",2008
"State Representative District 107","Keffer","R",2008
"State Representative District 107","Vaught","D",2008
"US Representative District 3","Daley","D",2008
"US Representative District 3","Johnson","R",2008
"US Representative District 30","Bernice Johnson","D",2008
"US Representative District 30","Wood","R",2008
"State Board of Education District 13","Knight","D",2008
"State Board of Education District 13","Werner","R",2008
"State Representative District 101","Anderson","R",2008
"State Representative District 101","Miklos","D",2008
"State Representative District 100","Hodge","D",2008
"State Senator District 23","West","D",2008
"State Representative District 113","Brandler","D",2008
"State Representative District 113","Driver","R",2008
"State Representative District 112","Chen Button","R",2008
"State Representative District 112","Vule","D",2008
"State Representative District 103","Anchia","D",2008
"State Representative District 115","Jackson","R",2008
"US Representative District 24","Love","D",2008
"US Representative District 24","Marchant","R",2008
"State Representative District 108","Branch","R",2008
"State Representative District 108","Reichstadt","D",2008
